PDEshL	 -11.7179487179487 -0.538461538461538
AVDR	 1.11522633744856 -0.0246913580246914
AINR	 1.04115226337449 -0.0576131687242798
RICR	 0.888888888888889 0.0823045267489712
AIZR	 0.967078189300412 0.0534979423868313
ADEsoR	 1.03292181069959 0.037037037037037
RIMR	 1.12345679012346 0.0576131687242798
AUAR	 1.12757201646091 0.0905349794238683
RIBR	 1.19341563786008 0.0864197530864197
RIR	 1.16872427983539 0.156378600823045
SMBVR	 1.11111111111111 0.213991769547325
SIADR	 1.03292181069959 0.251028806584362
SMBDR	 0.962962962962963 0.283950617283951
SIAVR	 0.917695473251029 0.189300411522634
AIAR	 0.991769547325103 0.193415637860082
AVL	 1.02469135802469 0.152263374485597
ASJR	 1.05349794238683 0.152263374485597
AIYR	 0.662551440329218 0.255144032921811
AIMR	 0.62962962962963 0.255144032921811
RIS	 0.580246913580247 0.271604938271605
AVKR	 0.534979423868313 0.267489711934156
AMshR	 0.613168724279835 -0.283950617283951
ADEshR	 0.0781893004115226 -0.0823045267489712
RMGR	 0.160493827160494 0.0288065843621399
ADER	 0.251028806584362 0.156378600823045
ADAR	 0.238683127572016 0.037037037037037
AQR	 0.329218106995885 0.0699588477366255
FLPR	 0.419753086419753 0.065843621399177
VB2	 0.493827160493827 0.395061728395062
SABVL	 0.415637860082305 0.374485596707819
AVFR	 0.411522633744856 0.378600823045267
SABVR	 0.34156378600823 0.382716049382716
AVFL	 0.312757201646091 0.382716049382716
RIFR	 0.279835390946502 0.386831275720165
VB1	 0.251028806584362 0.403292181069959
DB2	 0.197530864197531 0.407407407407407
RIGR	 0.139917695473251 0.386831275720165
RIFL	 0.0740740740740741 0.411522633744856
AVG	 0.0329218106995885 0.411522633744856
SABD	 -0.0452674897119342 0.407407407407407
VA1	 -0.0452674897119342 0.415637860082305
RIGL	 -0.106995884773663 0.415637860082305
DD1	 -0.135802469135802 0.415637860082305
DB1	 -0.205761316872428 0.423868312757202
AS1	 -0.275720164609054 0.415637860082305
VD1	 -0.366255144032922 0.407407407407407
DA1	 -0.386831275720165 0.407407407407407
VD2	 -0.518518518518518 0.407407407407407
VA11	 -13.2019230769231 0.467948717948718
AS11	 -14.1810897435897 0.391559829059829
VD12	 -14.590811965812 0.294337606837607
PVPR	 -14.7574786324786 0.224893162393162
PVT	 -14.8269230769231 0.25267094017094
VA12	 -14.9727564102564 0.141559829059829
DD6	 -15.0422008547009 0.0860042735042735
PVPL	 -15.0491452991453 0.162393162393162
DA8	 -15.1880341880342 0.0651709401709402
DA9	 -15.2505341880342 0.0443376068376068
PDB	 -15.340811965812 0.0512820512820513
VD13	 -15.3685897435897 0.00267094017094017
PDA	 -15.6255341880342 -0.00427350427350427
DVB	 -15.7922008547009 -0.601495726495726
DVA	 -15.8685897435897 -0.636217948717949
DVC	 -15.9866452991453 -0.636217948717949
PHAL	 -16.1047008547009 -0.268162393162393
PVQL	 -16.1810897435897 -0.323717948717949
LUAL	 -16.3477564102564 -0.344551282051282
PVCL	 -16.4102564102564 -0.677884615384615
ALNL	 -16.465811965812 -0.830662393162393
PHBL	 -16.4797008547009 -0.254273504273504
PQR	 -16.6394230769231 -0.240384615384615
PVWL	 -16.7852564102564 -0.302884615384615
PLNL	 -16.9449786324786 -0.240384615384615
PHCL	 -17.090811965812 -0.275106837606838
PLML	 -17.2227564102564 -0.30982905982906
PHshL	 -17.0630341880342 -0.594551282051282
PVNL	 -17.2088675213675 -0.545940170940171
PHso1L	 -17.4519230769231 -0.469551282051282
PHso2L	 -17.5699786324786 -0.49732905982906
PVQR	 -16.0144230769231 -0.407051282051282
PHAR	 -16.1394230769231 -0.282051282051282
PLNR	 -16.2991452991453 -0.295940170940171
PHBR	 -16.4102564102564 -0.302884615384615
LUAR	 -16.5213675213675 -0.302884615384615
PVCR	 -16.6324786324786 -0.511217948717949
ALNR	 -16.5699786324786 -0.830662393162393
PVR	 -16.7088675213675 -0.650106837606838
PHshR	 -16.8269230769231 -0.49732905982906
PVWR	 -16.9310897435897 -0.608440170940171
PHCR	 -17.0352564102564 -0.400106837606838
PVNR	 -17.1047008547009 -0.55982905982906
PLMR	 -17.1880341880342 -0.288995726495727
PHso1R	 -17.3824786324786 -0.365384615384615
PHso2R	 -17.6463675213675 -0.448717948717949
